EnumName,EnumValue,Description
EffectTrigger,ON_HIT_DEALT,공격자가 명중시켰을 때
EffectTrigger,ON_HIT_RECEIVED,피격자가 명중당했을 때
EffectTrigger,ON_DAMAGE_DEALT,공격자가 실제 피해를 입혔을 때
EffectTrigger,ON_DAMAGE_RECEIVED,피격자가 실제 피해를 받았을 때
EffectTrigger,ON_EMPTY_TILE_CAST,빈 타일에 스킬을 사용했을 때
EffectTrigger,ON_BARRIER_BREAK,방어막 파괴 시
EffectTrigger,ON_KILL_DEALT,공격자가 대상 처치 시
EffectTrigger,WHILE_EMPOWERED,강화 상태 중 적용
EffectTarget,SELF,자기 자신
EffectTarget,CASTER,시전자
EffectTarget,TARGET,선택 대상
EffectTarget,TARGET_TILE,선택 타일
EffectTarget,TARGET_AND_NEIGHBORS,선택 타일과 인접 타일
EffectTarget,TARGET_ENEMY,선택된 적
EffectTarget,ADJACENT_ENEMY,인접한 적
EffectTarget,ENEMY_IN_AURA,오라 범위 내 적
EffectTarget,SKILL,TargetSkillKey가 가리키는 스킬
EffectKey,SET_RESOURCE_MAX,자원 최대치 설정
EffectKey,MODIFY_RESOURCE,자원 증감/배율 변경
EffectKey,DEAL_DAMAGE,피해 적용
EffectKey,APPLY_BARRIER,방어막 부여
EffectKey,APPLY_STATUS,상태 부여
EffectKey,CHANGE_TILE_TYPE,타일 타입 변경
EffectKey,APPLY_STAT_MODIFIER,스탯/전투 수치 보정 적용
EffectKey,TOGGLE_AURA,오라 토글
EffectKey,ADD_SKILL_MODIFIER,지속 중 특정 스킬의 실행 규칙 보정
EffectKey,TELEPORT_TO_OVERLAY,지정 오버레이 타일로 이동
EffectKey,ADD_STAT_FROM_STAT,한 스탯 값을 다른 스탯에 가산
EffectKey,RESTORE_HP,체력 회복
EffectKey,DROP_EQUIPMENT,장비를 선택 타일에 드롭
EffectKey,PICKUP_EQUIPMENT,인접 타일의 드롭 장비를 회수
EffectKey,SWAP_POSITION,대상 아군과 위치 교환
ResourceKey,COLD,냉기 자원
ResourceKey,HEAT,열기 자원
StatusKey,FROSTBITE,동상 상태
StatusKey,BEIGE_ICE_COLD_HARD_WORKER_IGNORE_COLD_BACKLASH,차가운 노력가 냉기 역류 면역
StatusKey,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED,차가운 노력가 스킬 강화
StatusKey,BEIGE_ICE_THAWING_POTION_DAMAGE_DOWN,해동 포션 공격력 감소
StatusKey,BEIGE_FIRE_AMBITIOUS_IGNORE_HEAT_BACKLASH,야망가 열기 역류 면역
StatusKey,BEIGE_FIRE_AMBITIOUS_EMPOWERED,야망가 강화
StatusKey,BEIGE_FIRE_COOLING_POTION_DAMAGE_DOWN,냉각 포션 공격력 감소
StatusKey,SUEN_AXE_AXE_OFF,도끼를 던져 검만 든 상태
StatusKey,SUEN_AXE_AXE_OFF_EVASION,AxeOff 회피율 증가
StatusKey,SUEN_AXE_SPIT_ACCURACY_DOWN,침 뱉기 명중률 감소
StatusKey,SUEN_AXE_LONE_GROWING_MAN_ACTIVE,혼자 크는 남자 활성화
StatusKey,SUEN_AXE_LAST_MAN_FIRST_HIT_EVADE,최후의 생존자 턴당 첫 피격 회피
StatusKey,SUEN_AXE_LAST_MAN_EVASION,최후의 생존자 회피율 증가
StatusKey,SUEN_AXE_LAST_MAN_DAMAGE_REDUCTION,최후의 생존자 광역/도트 피해 감소
StatusKey,SUEN_AXE_LAST_MAN_TAUNT,최후의 생존자 도발
DamageType,NONE,피해 없음
DamageType,PHYSICAL,물리 피해
DamageType,MAGIC,마법 피해
DamageType,TRUE,고정 피해
TileType,NORMAL,일반 지형
TileType,WATER,물 지형
TileOverlayType,NONE,오버레이 없음
TileOverlayType,ICE,빙판 오버레이
TileOverlayType,FIRE,화염 오버레이
StatKey,DAMAGE_DEALT,주는 피해
StatKey,DEX,민첩
StatKey,HIT_RATE,명중률
StatKey,EVADE_RATE,회피율
StatKey,DAMAGE_TAKEN,받는 피해
ModifierType,ADD_RATIO,비율 가산
ModifierType,MULTIPLY,곱셈
EquipmentKey,AXE,도끼 장비
BonusStatKey,BONUS_STR,추가 근력
SkillModifierType,DAMAGE_MULTIPLIER,스킬 최종 피해 배율
SkillModifierType,EXTRA_TARGET_COUNT,추가 대상 수
SkillModifierType,TARGET_SHAPE_OVERRIDE,스킬 대상 범위 모양 변경
SkillModifierType,AURA_RADIUS_DELTA,오라 반경 증감
TargetShape,TRIANGLE_3,선택 타일 기준 3칸 삼각형
TargetShape,RADIUS_1,선택 타일과 인접한 6타일
TargetShape,LINE_3,시전자에서 선택 타일 방향으로 이어지는 3타일
StackPolicy,ADD,기존 중첩에 값을 더함
StackPolicy,REFRESH,중첩 수는 유지하고 지속시간만 갱신
Operation,ADD,덧셈
Operation,MULTIPLY,곱셈
Bool,TRUE,참
Bool,FALSE,거짓
SystemAction,MOVE,ActionSlot 8 고정 이동 시스템 액션
