SkillKey,ClassKey,SkillCategory,ActionSlot,RangeMin,RangeMax,TargetType,TargetShape,RequiredOverlayType,EffectGroupKey,CombatType,DamageType
SUEN_PARVIS_STAND_SHOT_OFF,SUEN_PARVIS,CAST,3,1,4,ENEMY_SINGLE,,,SUEN_PARVIS_STAND_SHOT_OFF_EFFECTS,RANGED,PHYSICAL
SUEN_PARVIS_STAND_SHOT_ON,SUEN_PARVIS,CAST,3,1,4,ENEMY_SINGLE,,,SUEN_PARVIS_STAND_SHOT_ON_EFFECTS,RANGED,PHYSICAL
SUEN_PARVIS_SIT_SHOT,SUEN_PARVIS,CAST,2,1,5,ENEMY_SINGLE,,,SUEN_PARVIS_SIT_SHOT_EFFECTS,RANGED,PHYSICAL
SUEN_PARVIS_POINT_BLANK,SUEN_PARVIS,CAST,4,1,1,ENEMY_SINGLE,,,SUEN_PARVIS_POINT_BLANK_EFFECTS,MELEE,PHYSICAL
SUEN_PARVIS_YABAWI,SUEN_PARVIS,CAST,5,1,1,ALLY_SINGLE,,,SUEN_PARVIS_YABAWI_EFFECTS,SUPPORT,NONE
SUEN_PARVIS_ROLL_SHOT,SUEN_PARVIS,CAST,5,1,4,ENEMY_SINGLE,,,SUEN_PARVIS_ROLL_SHOT_EFFECTS,RANGED,PHYSICAL
SUEN_PARVIS_DARK_HAND,SUEN_PARVIS,CAST,6,1,5,ENEMY_SINGLE,,,SUEN_PARVIS_DARK_HAND_EFFECTS,RANGED,PHYSICAL
SUEN_PARVIS_PICKUP,SUEN_PARVIS,CAST,7,1,1,PICKUP_TILE,,,SUEN_PARVIS_PICKUP_EFFECTS,SUPPORT,NONE
ZILLIAN_LONGBOW_SAINTLY_BURDEN,ZILLIAN_LONGBOW,PASSIVE,1,0,0,SELF,,,ZILLIAN_SAINTLY_BURDEN_EFFECTS,NONE,NONE
ZILLIAN_LONGBOW_BASIC_ARCHERY,ZILLIAN_LONGBOW,CAST,2,1,4,ENEMY_SINGLE,,,ZILLIAN_LONGBOW_BASIC_ARCHERY_EFFECTS,RANGED,PHYSICAL
ZILLIAN_LONGBOW_ROUGH_HEALING,ZILLIAN_LONGBOW,CAST,3,1,4,ALLY_SINGLE,,,ZILLIAN_LONGBOW_ROUGH_HEALING_EFFECTS,SUPPORT,NONE
ZILLIAN_LONGBOW_CLUBBING,ZILLIAN_LONGBOW,CAST,4,1,1,ENEMY_SINGLE,,,ZILLIAN_LONGBOW_CLUBBING_EFFECTS,MELEE,PHYSICAL
ZILLIAN_LONGBOW_WANT_TO_LIVE,ZILLIAN_LONGBOW,CAST,5,0,0,SELF,,,ZILLIAN_LONGBOW_WANT_TO_LIVE_EFFECTS,SUPPORT,NONE
ZILLIAN_LONGBOW_GET_UP,ZILLIAN_LONGBOW,CAST,6,1,4,ALLY_SINGLE,,,ZILLIAN_LONGBOW_GET_UP_EFFECTS,SUPPORT,NONE
ZILLIAN_LONGBOW_GO_HOME,ZILLIAN_LONGBOW,CAST,7,1,1,ALLY_SINGLE,,,ZILLIAN_LONGBOW_GO_HOME_EFFECTS,SUPPORT,NONE
ZILLIAN_MACE_SAINTLY_BURDEN,ZILLIAN_MACE,PASSIVE,1,0,0,SELF,,,ZILLIAN_SAINTLY_BURDEN_EFFECTS,NONE,NONE
ZILLIAN_MACE_BASIC_BATTING,ZILLIAN_MACE,CAST,2,1,1,ENEMY_SINGLE,,,ZILLIAN_MACE_BASIC_BATTING_EFFECTS,MELEE,PHYSICAL
ZILLIAN_MACE_GO_AWAY,ZILLIAN_MACE,CAST,3,1,1,ENEMY_SINGLE,,,ZILLIAN_MACE_GO_AWAY_EFFECTS,MELEE,PHYSICAL
ZILLIAN_MACE_DAZZLING_GLARE,ZILLIAN_MACE,CAST,4,1,4,TILE_OR_ENEMY,RADIUS_1,,ZILLIAN_MACE_DAZZLING_GLARE_EFFECTS,SUPPORT,NONE
ZILLIAN_MACE_UNWANTED_POWER,ZILLIAN_MACE,CAST,5,0,0,SELF,,,ZILLIAN_MACE_UNWANTED_POWER_EFFECTS,SUPPORT,NONE
ZILLIAN_MACE_NO_ONE_DIE,ZILLIAN_MACE,CAST,6,0,0,SELF,,,ZILLIAN_MACE_NO_ONE_DIE_EFFECTS,SUPPORT,NONE
ZILLIAN_MACE_I_WANT_TO_GO_HOME,ZILLIAN_MACE,CAST,7,1,1,ALLY_SINGLE,,,ZILLIAN_MACE_I_WANT_TO_GO_HOME_EFFECTS,SUPPORT,NONE
ALEN_SPEAR_CARBAS_WILL,ALEN_SPEAR,PASSIVE,1,0,0,SELF,,,ALEN_CARBAS_WILL_EFFECTS,NONE,NONE
ALEN_SPEAR_LIONHEART_1,ALEN_SPEAR,CAST,2,1,2,ENEMY_SINGLE,,,ALEN_SPEAR_LIONHEART_1_EFFECTS,MELEE,PHYSICAL
ALEN_SPEAR_LIONHEART_2,ALEN_SPEAR,CAST,3,1,2,ENEMY_SINGLE,,,ALEN_SPEAR_LIONHEART_2_EFFECTS,MELEE,PHYSICAL
ALEN_SPEAR_LIONHEART_3,ALEN_SPEAR,CAST,4,1,1,TILE_OR_ENEMY,LINE_2,,ALEN_SPEAR_LIONHEART_3_EFFECTS,MELEE,PHYSICAL
ALEN_SPEAR_SENTINEL,ALEN_SPEAR,CAST,5,0,0,SELF,,,ALEN_SPEAR_SENTINEL_EFFECTS,SUPPORT,NONE
ALEN_SPEAR_CHARGE_COMMAND,ALEN_SPEAR,CAST,6,0,0,SELF,,,ALEN_SPEAR_CHARGE_COMMAND_EFFECTS,SUPPORT,NONE
ALEN_SPEAR_MORALE_BOOST,ALEN_SPEAR,CAST,7,1,3,ALLY_SINGLE,,,ALEN_MORALE_BOOST_EFFECTS,SUPPORT,NONE
ALEN_SHIELD_CARBAS_WILL,ALEN_SHIELD,PASSIVE,1,0,0,SELF,,,ALEN_CARBAS_WILL_EFFECTS,NONE,NONE
ALEN_SHIELD_EFFORT,ALEN_SHIELD,CAST,2,1,1,ENEMY_SINGLE,,,ALEN_SHIELD_EFFORT_EFFECTS,MELEE,PHYSICAL
ALEN_SHIELD_STANCE,ALEN_SHIELD,TOGGLE,3,0,0,SELF_TOGGLE,,,ALEN_SHIELD_STANCE_EFFECTS,SUPPORT,NONE
ALEN_SHIELD_RESPONSIBILITY,ALEN_SHIELD,CAST,4,1,1,ALLY_SINGLE,,,ALEN_SHIELD_RESPONSIBILITY_EFFECTS,SUPPORT,NONE
ALEN_SHIELD_PRIDE,ALEN_SHIELD,CAST,5,1,2,TILE_OR_ENEMY,DASH_2,,ALEN_SHIELD_PRIDE_EFFECTS,MELEE,PHYSICAL
ALEN_SHIELD_DUEL_MASTER,ALEN_SHIELD,CAST,6,0,0,SELF,,,ALEN_SHIELD_DUEL_MASTER_EFFECTS,SUPPORT,NONE
ALEN_SHIELD_MORALE_BOOST,ALEN_SHIELD,CAST,7,1,3,ALLY_SINGLE,,,ALEN_MORALE_BOOST_EFFECTS,SUPPORT,NONE
